# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Shipping details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free shipping overlay in your ads. Use a semi-colon ';' or a comma "";"" to separate multiple shipping details for different regions or countries. Only people in the specified region or country will see shipping details for that region or country. You can leave out the region (keep the double '::') if your shipping details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,# Optional | The item’s Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you’re sure it’s correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | URLs and tags for videos to be used in your ads or in shops. Supports up to 20 different videos. Must be a direct link to download the video file; not a link to a video player such as YouTube. Tags are optional and; if used; should describe what is in the video. Learn more about video field specifications at: https://www.facebook.com/business/help/120325381656392,# Optional | URLs and tags for videos to be used in your ads or in shops. Supports up to 20 different videos. Must be a direct link to download the video file; not a link to a video player such as YouTube. Tags are optional and; if used; should describe what is in the video. Learn more about video field specifications at: https://www.facebook.com/business/help/120325381656392,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],product_tags[0],product_tags[1],style[0]
prod_01JEG838EQ8N8M63XRGHQ81NCX,Merida-Inspired Outfit,"This handcrafted crochet set is inspired by the beloved Pixar character Merida from the movie Brave. It includes a signature curly-haired hat, a cozy vest-style dress, and a pair of matching slippers. Crafted with attention to detail, this outfit captures Merida's spirited and adventurous personality.",in stock,new,"PKR 2,000",https://muattar-store.vercel.app/products/children,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/467692757_122102812904634604_6328718069005797902_n-01JEG8QWSTY743ZYSW3VZAB7HH.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/children,unisex,royal blue,M,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JER1HQWXRF1S5FCQDEK9JGWM,Lace Dress and Jacket Set," This handmade crochet outfit for children features a beautiful lace dress and a matching jacket with delicate floral appliques. The intricate crochet work creates a stunning, one-of-a-kind look that is perfect for special occasions or everyday wear. The set includes the dress, jacket, and headband, all made with high-quality, soft yarn for maximum comfort.",in stock,new,"PKR 3,500",https://muattar-store.vercel.app/products/lace-dress-and-jacket-set,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/WhatsApp Image 2024-12-10 at 14.30.55_18828ac7-01JER1HM0MP2818R0S7AZW31MF.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/lace-dress-and-jacket-set,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JERMVBJKJ9ESZYKBH73R0T6M,Vibrant Blue and Brown,"This handmade crochet dress features a vibrant blue color palette with contrasting brown accents. The intricate crochet work creates a fluffy, textured appearance that gives the dress a charming and unique look. The dress has a flared skirt and a ruffled collar, adding to its whimsical and playful design. This one-of-a-kind crochet creation would make a lovely addition to any child's wardrobe, perfect for special occasions or everyday wear.",in stock,new,"PKR 2,000",https://muattar-store.vercel.app/products/vibrant-blue-and-brown,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 3-01JERNQTT8D85SQ44RDR0C35BJ.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/vibrant-blue-and-brown,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JERP83TEW1D9BZQGZR831M0W,Fuzzy White Hooded Jacket,"This handmade, soft and fluffy white jacket features an oversized hooded design, creating a cozy and comfortable winter accessory. The textured, fuzzy surface adds a plush and inviting aesthetic that would be perfect for staying warm during the colder months.",in stock,new,"PKR 2,500",https://muattar-store.vercel.app/products/fuzzy-white-hooded-jacket,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 19-01JET17E6VV0FW6ESAQDSTVDME.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/fuzzy-white-hooded-jacket,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JERQE00JAJ5Y2FXMXTDF2GBE, Knit Cardigan for Young Boy,"knitted cardigan sweater in a beautiful shade of blue. The sweater features a classic cable knit pattern that gives it a cozy, textured appearance. The boy is smiling, suggesting the sweater is comfortable and well-fitting. This handmade knit cardigan would make a wonderful addition to any child's wardrobe, providing warmth and a touch of style.",in stock,new,"PKR 4,000",https://muattar-store.vercel.app/products/knit-cardigan-for-boy,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 5-01JERQDDJYX2C4CX8JEXR705NR.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/knit-cardigan-for-boy,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JERRWKP8XF3MD5ASTJQQD954,Fuzzy Black Sweater,"A handmade, fuzzy black sweater that appears to be crafted with great care and attention to detail. The sweater has a plush, textured appearance, giving it a cozy and inviting feel. The all-black color palette creates a sleek and stylish look that would be perfect for a variety of occasions, from casual everyday wear to dressier events. This handmade sweater showcases impressive craftsmanship and would make a wonderful addition to any wardrobe.",in stock,new,"PKR 3,000",https://muattar-store.vercel.app/products/fuzzy-black-sweater,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 8-01JERRW8PJQSWCQYMR7ET7HKA7.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/fuzzy-black-sweater,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JET1XZP0AQ4RW21MAXSBH4SD,Fluffy Knit Dress,"This beautiful handmade dress showcases exceptional craftsmanship and a unique design. The dress features a mix of textured knit patterns in a striking color palette of charcoal gray, red, and black. The fluffy, plush material gives the dress a cozy and inviting feel, perfect for keeping little ones warm and comfortable. The vibrant red accents along the trim and hem add a playful pop of color, creating an eye-catching and stylish look. This one-of-a-kind knit dress is a true testament to the talent and creativity of the maker.",in stock,new,"PKR 3,000",https://muattar-store.vercel.app/products/fluffy-knit-dress,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 11 (1)-01JET1XVKJMJJMVJ7TK7SRQXNR.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/fluffy-knit-dress,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JET51A1596Q3P7B34E76KM7T,Blue Fuzzy Winter Dress for Girls,"This striking handcrafted dress showcases an intricate blend of knitting techniques and textures. The base features a chunky, ribbed pattern in shades of blue, while the skirt portion is adorned with a fluffy, textured design that gives the dress a cozy and whimsical appearance. The combination of the structured bodice and the soft, plush skirt creates a visually interesting and visually striking garment. The attention to detail and the skilled craftsmanship evident in this dress make it a truly one-of-a-kind piece that would be perfect for keeping little ones warm and stylish during the colder months.",in stock,new,"PKR 3,000",https://muattar-store.vercel.app/products/blue-fuzzy-winter-dress-for-girls,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 15 (1)-01JET516DHW0VK3BYAHJ1NKJNA.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/blue-fuzzy-winter-dress-for-girls,,,,kids,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JET5WMXW2HTA8RCH2W64G1ED,Crochet Patchwork Vest,"This stunning handcrafted vest showcases the exceptional skill and creativity of the artisan. Featuring a patchwork design, the vest combines various crochet stitches and patterns in a beautiful blend of neutral tones, including shades of gray, beige, and white. The intricate detailing and textural elements give the vest a cozy, yet contemporary aesthetic. Whether worn as a standalone piece or layered over other garments, this one-of-a-kind crochet vest is sure to keep the wearer warm and stylish throughout the cooler seasons. The unique, artisanal quality of this handmade accessory makes it a true heirloom piece.",in stock,new,"PKR 1,500",https://muattar-store.vercel.app/products/crochet-patchwork-vest,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 13 (1)-01JET5WJCESX155CS91CQ7GF7Y.jpg,crochet,,,,,,https://muattar-store.vercel.app/products/crochet-patchwork-vest,,,,adult,yarn,,PK:CA:Ground:200 PKR,,,,,,,
prod_01JET6GP63AHDJX04PS8Q3PPN3,Patterned Dress,"This striking handmade crochet dress showcases an intricate patterned design in a vibrant color palette of blues and golds. The dress features a distinctive V-neck and floral embellishments, giving it a unique and eye-catching appearance. The textured crochet work creates a cozy and structured silhouette, while the bold geometric and floral motifs add a touch of bohemian flair. This one-of-a-kind crochet dress would make a stunning addition to any little girl's wardrobe, providing both warmth and style.",in stock,new,"PKR 1,500",https://muattar-store.vercel.app/products/patterned-dress,https://pub-f6bdb5ce4859422aae8d11a03552fccf.r2.dev/Frame 14-01JET6GKMCK219S67D5HEK45FS.webp,crochet,,,,,,https://muattar-store.vercel.app/products/patterned-dress,,,,adult,yarn,,PK:CA:Ground:200 PKR,,,,,,,
